model,reasoning_type,complexity,accuracy_mean,accuracy_stdev,score_mean,score_stdev,tokens_mean,tokens_stdev,time_mean,time_stdev,num_runs
gpt-5.2,temporal,2,0.8333333333333334,0.2081665999466133,0.8333333333333334,0.2081665999466133,7755.333333333333,2029.106289313927,0.0,0.0,3
gpt-5.2,temporal,3,0.9333333333333333,0.11547005383792512,0.9277777777777778,0.11097213530798987,8536.666666666666,469.6491598345869,0.0,0.0,3
gpt-5.2,temporal,4,0.9,0.17320508075688776,0.9,0.17320508075688776,8825.333333333334,366.7292370855279,0.0,0.0,3
gpt-5.2,weighted,1,0.9333333333333333,0.11547005383792512,0.9333333333333333,0.11547005383792512,3891.6666666666665,1020.967351747025,0.0,0.0,3
gpt-5.2,weighted,2,0.5333333333333333,0.15275252316519464,0.6522222222222223,0.12850997943667572,12467.0,1121.6554729505847,0.0,0.0,3
gpt-5.2,weighted,3,0.5666666666666667,0.11547005383792512,0.625462962962963,0.10997977273809319,29088.666666666668,3425.1584391577176,0.0,0.0,3
gpt-5.2,weighted,4,0.7333333333333334,0.11547005383792519,0.7755555555555556,0.12932875135067964,57496.333333333336,13837.968974287134,0.0,0.0,3
gpt-5.2,conflicting,1,0.8,0.2,0.8,0.2,11601.333333333334,506.9766595547899,0.0,0.0,3
gpt-5.2,conflicting,2,0.9666666666666667,0.05773502691896256,0.9666666666666667,0.05773502691896256,13814.0,694.6632277586025,0.0,0.0,3
gpt-5.2,conflicting,3,0.8,0.10000000000000003,0.8,0.10000000000000003,21922.333333333332,700.0859471045918,0.0,0.0,3
gpt-5.2,conflicting,4,0.7,0.0,0.7,0.0,37963.666666666664,498.07763785712496,0.0,0.0,3
gpt-5-mini,multihop,1,0.7555555555555555,0.2143033502442879,0.7555555555555555,0.2143033502442879,6570.0,5307.419241024775,0.0,0.0,3
gpt-5-mini,multihop,2,0.7666666666666667,0.05773502691896263,0.7666666666666667,0.05773502691896263,18487.0,5975.653855437076,0.0,0.0,3
gpt-5-mini,multihop,3,0.5666666666666667,0.05773502691896256,0.5833333333333334,0.07637626158259735,68906.0,11213.912029260797,0.0,0.0,3
gpt-5-mini,multihop,4,0.5666666666666667,0.11547005383792512,0.5666666666666667,0.11547005383792512,181744.0,47446.95023918819,0.0,0.0,3
gpt-5-mini,hierarchical,1,1.0,0.0,1.0,0.0,1996.3333333333333,1257.312345176541,0.0,0.0,3
gpt-5-mini,hierarchical,2,0.9666666666666667,0.05773502691896256,0.9833333333333333,0.028867513459481315,6452.666666666667,1009.4381275409272,0.0,0.0,3
gpt-5-mini,hierarchical,3,1.0,0.0,1.0,0.0,8381.0,235.05531263938707,0.0,0.0,3
gpt-5-mini,hierarchical,4,1.0,0.0,1.0,0.0,15451.333333333334,602.7357076972737,0.0,0.0,3
gpt-5-mini,temporal,1,0.8148148148148148,0.3207501495497921,0.8148148148148148,0.3207501495497921,8973.666666666666,1363.0687192263395,0.0,0.0,3
gpt-5-mini,temporal,2,0.6333333333333333,0.11547005383792512,0.6333333333333333,0.11547005383792512,8969.0,2750.5732129867038,0.0,0.0,3
gpt-5-mini,temporal,3,0.8333333333333334,0.1527525231651947,0.8333333333333334,0.1527525231651947,10391.333333333334,896.7665991401182,0.0,0.0,3
gpt-5-mini,temporal,4,0.9,0.17320508075688776,0.9,0.17320508075688776,9081.666666666666,625.6647131917648,0.0,0.0,3
gpt-5-mini,weighted,1,0.9333333333333333,0.11547005383792512,0.9333333333333333,0.11547005383792512,4525.333333333333,1086.5239681356934,0.0,0.0,3
gpt-5-mini,weighted,2,0.6666666666666666,0.11547005383792519,0.7,0.10000000000000003,12560.0,1776.1047266419848,0.0,0.0,3
gpt-5-mini,weighted,3,0.4666666666666667,0.11547005383792512,0.4944444444444444,0.09179284245476836,27610.0,2543.659371849934,0.0,0.0,3
gpt-5-mini,weighted,4,0.4666666666666667,0.15275252316519466,0.47333333333333333,0.1616580753730952,38157.666666666664,3860.272313365125,0.0,0.0,3
gpt-5-mini,conflicting,1,0.9,0.09999999999999998,0.9,0.09999999999999998,15754.666666666666,1691.1009234617943,0.0,0.0,3
gpt-5-mini,conflicting,2,0.9333333333333333,0.05773502691896256,0.9333333333333333,0.05773502691896256,17912.666666666668,1107.6503660150768,0.0,0.0,3
gpt-5-mini,conflicting,3,0.7666666666666666,0.11547005383792519,0.7666666666666666,0.11547005383792519,28492.0,3196.15206146391,0.0,0.0,3
gpt-5-mini,conflicting,4,0.6333333333333333,0.20816659994661327,0.6333333333333333,0.20816659994661327,37249.0,5263.095381997176,0.0,0.0,3
gpt-5-nano,multihop,1,0.45555555555555555,0.3948745698648191,0.45555555555555555,0.3948745698648191,4507.333333333333,3425.9051845217978,0.0,0.0,3
gpt-5-nano,multihop,2,0.43333333333333335,0.11547005383792516,0.43333333333333335,0.11547005383792516,16052.333333333334,2434.33776073357,0.0,0.0,3
gpt-5-nano,multihop,3,0.2,0.2,0.2,0.2,51933.0,12521.90923940914,0.0,0.0,3
