model,reasoning_type,complexity,mean_accuracy,std_accuracy,cv,n_runs
claude_3_5_haiku_20241022,multihop,2,0.7999999999999999,0.10000000000000003,0.12500000000000006,3
claude_3_5_haiku_20241022,multihop,3,0.6,0.09999999999999998,0.16666666666666663,3
claude_3_5_haiku_20241022,multihop,4,0.19999999999999998,0.17320508075688773,0.8660254037844387,3
claude_3_5_haiku_20241022,temporal,1,0.6703703703703704,0.2982114034577876,0.44484573996465554,3
claude_3_5_haiku_20241022,temporal,2,0.6333333333333333,0.11547005383792512,0.18232113763882915,3
claude_3_5_haiku_20241022,temporal,3,0.7666666666666666,0.2081665999466133,0.27152165210427825,3
claude_3_5_haiku_20241022,temporal,4,0.7666666666666666,0.2516611478423583,0.3282536710987283,3
claude_3_5_haiku_20241022,weighted,1,0.8690476190476191,0.12542444943872308,0.14432402401168135,3
claude_3_5_haiku_20241022,weighted,2,0.4666666666666666,0.11547005383792512,0.24743582965269673,3
claude_3_5_haiku_20241022,weighted,3,0.46666666666666673,0.2886751345948129,0.6185895741317419,3
claude_3_5_haiku_20241022,weighted,4,0.5333333333333333,0.05773502691896256,0.1082531754730548,3
claude_3_7_sonnet_20250219,conflicting,1,0.8000000000000002,0.10000000000000003,0.12500000000000003,3
claude_3_7_sonnet_20250219,conflicting,2,0.8333333333333334,0.1527525231651947,0.18330302779823363,3
claude_3_7_sonnet_20250219,conflicting,3,0.8666666666666667,0.05773502691896256,0.06661733875264911,3
claude_3_7_sonnet_20250219,conflicting,4,0.7666666666666666,0.11547005383792519,0.15061311370164157,3
claude_3_7_sonnet_20250219,hierarchical,1,1.0,0.0,0.0,3
claude_3_7_sonnet_20250219,hierarchical,2,0.9,0.09999999999999998,0.11111111111111108,3
claude_3_7_sonnet_20250219,hierarchical,3,0.8000000000000002,0.10000000000000003,0.12500000000000003,3
claude_3_7_sonnet_20250219,hierarchical,4,0.8333333333333334,0.05773502691896256,0.06928203230275506,3
claude_3_7_sonnet_20250219,multihop,1,1.0,0.0,0.0,3
claude_3_7_sonnet_20250219,multihop,2,0.9666666666666667,0.05773502691896257,0.05972588991616817,3
claude_3_7_sonnet_20250219,multihop,3,0.7999999999999999,0.10000000000000003,0.12500000000000006,3
claude_3_7_sonnet_20250219,multihop,4,0.26666666666666666,0.1527525231651947,0.5728219618694801,3
claude_3_7_sonnet_20250219,temporal,1,0.7851851851851852,0.22259228446395138,0.2834901736097494,3
claude_3_7_sonnet_20250219,temporal,2,0.7999999999999999,0.264575131106459,0.3307189138830738,3
claude_3_7_sonnet_20250219,temporal,3,0.8333333333333334,0.1527525231651947,0.18330302779823363,3
claude_3_7_sonnet_20250219,temporal,4,0.9666666666666667,0.05773502691896256,0.059725889916168166,3
claude_3_7_sonnet_20250219,weighted,1,0.9333333333333332,0.11547005383792512,0.12371791482634836,3
claude_3_7_sonnet_20250219,weighted,2,0.7333333333333334,0.11547005383792519,0.15745916432444343,3
claude_3_7_sonnet_20250219,weighted,3,0.6999999999999998,0.2,0.2857142857142858,3
claude_3_7_sonnet_20250219,weighted,4,0.6666666666666666,0.1527525231651947,0.22912878474779205,3
claude_sonnet_4_20250514,conflicting,1,0.9666666666666667,0.05773502691896256,0.059725889916168166,3
claude_sonnet_4_20250514,conflicting,2,0.9666666666666667,0.05773502691896256,0.059725889916168166,3
claude_sonnet_4_20250514,conflicting,3,0.9333333333333332,0.05773502691896257,0.06185895741317419,3
claude_sonnet_4_20250514,conflicting,4,0.9666666666666667,0.05773502691896256,0.059725889916168166,3
claude_sonnet_4_20250514,hierarchical,1,1.0,0.0,0.0,3
claude_sonnet_4_20250514,hierarchical,2,0.9333333333333332,0.05773502691896257,0.06185895741317419,3
claude_sonnet_4_20250514,hierarchical,3,0.6999999999999998,0.2,0.2857142857142858,3
