model,reasoning_type,complexity,mean,ci_lower,ci_upper,ci_width,n_samples
gemini_2_0_flash,weighted,1,1.0,1.0,1.0,0.0,16
gemini_2_0_flash,weighted,2,0.6,0.43333333333333335,0.7666666666666667,0.33333333333333337,30
gemini_2_0_flash,weighted,3,0.5333333333333333,0.3664583333333335,0.7,0.33354166666666646,30
gemini_2_0_flash,weighted,4,0.7,0.5465000000000001,0.8666666666666667,0.3201666666666666,30
gemini_2_5_flash,conflicting,1,0.9666666666666667,0.9,1.0,0.09999999999999998,30
gemini_2_5_flash,conflicting,2,0.9666666666666667,0.9,1.0,0.09999999999999998,30
gemini_2_5_flash,conflicting,3,1.0,1.0,1.0,0.0,30
gemini_2_5_flash,conflicting,4,0.8333333333333334,0.7,0.9666666666666667,0.2666666666666667,30
gemini_2_5_flash,hierarchical,1,0.8125,0.625,1.0,0.375,16
gemini_2_5_flash,hierarchical,2,0.9333333333333333,0.8333333333333334,1.0,0.16666666666666663,30
gemini_2_5_flash,hierarchical,3,0.8666666666666667,0.7333333333333333,0.9666666666666667,0.2333333333333334,30
gemini_2_5_flash,hierarchical,4,0.9,0.7666666666666667,1.0,0.23333333333333328,30
gemini_2_5_flash,multihop,1,1.0,1.0,1.0,0.0,16
gemini_2_5_flash,multihop,2,0.8,0.6666666666666666,0.9333333333333333,0.2666666666666667,30
gemini_2_5_flash,multihop,3,0.7222222222222222,0.5555555555555555,0.8666666666666667,0.3111111111111112,30
gemini_2_5_flash,multihop,4,0.5,0.3333333333333333,0.6674999999999992,0.3341666666666659,30
gemini_2_5_flash,temporal,1,0.7857142857142857,0.6071428571428571,0.9285714285714286,0.3214285714285715,28
gemini_2_5_flash,temporal,2,0.7333333333333333,0.5666666666666667,0.9,0.33333333333333337,30
gemini_2_5_flash,temporal,3,0.8666666666666667,0.7333333333333333,0.9666666666666667,0.2333333333333334,30
gemini_2_5_flash,temporal,4,0.9,0.7666666666666667,1.0,0.23333333333333328,30
gemini_2_5_flash,weighted,1,0.9375,0.8125,1.0,0.1875,16
gemini_2_5_flash,weighted,2,0.8333333333333334,0.6666666666666666,0.9666666666666667,0.30000000000000004,30
gemini_2_5_flash,weighted,3,0.6962962962962963,0.5295370370370371,0.8592592592592593,0.32972222222222214,30
gemini_2_5_flash,weighted,4,0.66,0.49333333333333335,0.8133333333333334,0.32,30
gemini_3_flash_preview,conflicting,1,0.9666666666666667,0.9,1.0,0.09999999999999998,30
gemini_3_flash_preview,conflicting,2,0.9333333333333333,0.8333333333333334,1.0,0.16666666666666663,30
gemini_3_flash_preview,conflicting,3,0.9,0.8,1.0,0.19999999999999996,30
gemini_3_flash_preview,conflicting,4,0.9,0.7991666666666675,1.0,0.20083333333333253,30
gemini_3_flash_preview,hierarchical,1,1.0,1.0,1.0,0.0,16
gemini_3_flash_preview,hierarchical,2,1.0,1.0,1.0,0.0,30
gemini_3_flash_preview,hierarchical,3,1.0,1.0,1.0,0.0,30
gemini_3_flash_preview,hierarchical,4,1.0,1.0,1.0,0.0,30
gemini_3_flash_preview,multihop,1,1.0,1.0,1.0,0.0,16
gemini_3_flash_preview,multihop,2,0.8833333333333333,0.7666666666666667,0.9833333333333333,0.21666666666666656,30
gemini_3_flash_preview,multihop,3,0.95,0.8666666666666667,1.0,0.1333333333333333,30
gemini_3_flash_preview,multihop,4,0.6666666666666666,0.5166666666666667,0.8,0.2833333333333333,30
gemini_3_flash_preview,temporal,1,0.8571428571428571,0.7142857142857143,0.9642857142857143,0.25,28
gemini_3_flash_preview,temporal,2,0.7333333333333333,0.5666666666666667,0.9,0.33333333333333337,30
gemini_3_flash_preview,temporal,3,0.8,0.6333333333333333,0.9333333333333333,0.30000000000000004,30
gemini_3_flash_preview,temporal,4,0.8666666666666667,0.7333333333333333,0.9666666666666667,0.2333333333333334,30
gemini_3_flash_preview,weighted,1,1.0,1.0,1.0,0.0,16
gemini_3_flash_preview,weighted,2,0.95,0.8666666666666667,1.0,0.1333333333333333,30
gemini_3_flash_preview,weighted,3,0.9333333333333333,0.85,1.0,0.15000000000000002,30
gemini_3_flash_preview,weighted,4,0.7966666666666666,0.64325,0.9266666666666666,0.28341666666666665,30
gemini_3_pro_preview,conflicting,1,1.0,1.0,1.0,0.0,30
gemini_3_pro_preview,conflicting,2,0.9666666666666667,0.9,1.0,0.09999999999999998,30
gemini_3_pro_preview,conflicting,3,1.0,1.0,1.0,0.0,30
gemini_3_pro_preview,conflicting,4,1.0,1.0,1.0,0.0,30
gemini_3_pro_preview,hierarchical,1,0.9375,0.8125,1.0,0.1875,16
gemini_3_pro_preview,hierarchical,2,0.9666666666666667,0.9,1.0,0.09999999999999998,30
gemini_3_pro_preview,hierarchical,3,0.9333333333333333,0.8333333333333334,1.0,0.16666666666666663,30
gemini_3_pro_preview,hierarchical,4,1.0,1.0,1.0,0.0,30
gemini_3_pro_preview,multihop,1,1.0,1.0,1.0,0.0,16
gemini_3_pro_preview,multihop,2,0.8666666666666667,0.7333333333333333,0.9666666666666667,0.2333333333333334,30
gemini_3_pro_preview,multihop,3,0.9,0.8,1.0,0.19999999999999996,30
gemini_3_pro_preview,multihop,4,0.9,0.8,1.0,0.19999999999999996,30
gemini_3_pro_preview,temporal,1,0.7857142857142857,0.6428571428571429,0.9285714285714286,0.2857142857142857,28
gemini_3_pro_preview,temporal,2,0.7,0.5333333333333333,0.8666666666666667,0.33333333333333337,30
gemini_3_pro_preview,temporal,3,0.8333333333333334,0.7,0.9666666666666667,0.2666666666666667,30
gemini_3_pro_preview,temporal,4,0.9333333333333333,0.8333333333333334,1.0,0.16666666666666663,30
gemini_3_pro_preview,weighted,1,1.0,1.0,1.0,0.0,16
gemini_3_pro_preview,weighted,2,0.85,0.7,1.0,0.30000000000000004,20
gemini_3_pro_preview,weighted,3,0.962962962962963,0.8962037037037037,1.0,0.10379629629629628,30
gemini_3_pro_preview,weighted,4,0.8333333333333334,0.7,0.9666666666666667,0.2666666666666667,30
gpt_4o,conflicting,1,0.8333333333333334,0.7,0.9666666666666667,0.2666666666666667,30
gpt_4o,conflicting,2,0.8333333333333334,0.6991666666666674,0.9333333333333333,0.23416666666666597,30
gpt_4o,conflicting,3,0.7333333333333333,0.5666666666666667,0.8666666666666667,0.30000000000000004,30
gpt_4o,conflicting,4,0.5666666666666667,0.4,0.7333333333333333,0.33333333333333326,30
gpt_4o,hierarchical,1,1.0,1.0,1.0,0.0,16
gpt_4o,hierarchical,2,0.9666666666666667,0.9,1.0,0.09999999999999998,30
gpt_4o,hierarchical,3,0.8666666666666667,0.7333333333333333,0.9666666666666667,0.2333333333333334,30
gpt_4o,hierarchical,4,0.9833333333333333,0.95,1.0,0.050000000000000044,30
gpt_4o,multihop,1,1.0,1.0,1.0,0.0,16
gpt_4o,multihop,2,0.7666666666666667,0.6166666666666667,0.9,0.2833333333333333,30
gpt_4o,multihop,3,0.5,0.31666666666666665,0.6670833333333329,0.35041666666666627,30
gpt_4o,multihop,4,0.4,0.23333333333333334,0.5666666666666667,0.3333333333333333,30
